mon_year,KM_driven,Fuel_Type,Horse_Power,Color,Transmission,Engine,Doors,Cylinders,Gears,Sport_Model,selling_price
Oct_2006,49805,Diesel,90,Metallic,Manual,2000,3,4,5,0,14310
Oct_2006,77313,Diesel,90,Metallic,Manual,2000,3,4,5,0,14575
Sept_2006,44214,Diesel,90,Metallic,Manual,2000,3,4,5,0,14787
Jul_2006,50880,Diesel,90,Non-Metallic,Manual,2000,3,4,5,0,15847
Mar_2006,40810,Diesel,90,Non-Metallic,Manual,2000,3,4,5,0,14575
Jan_2006,64660,Diesel,90,Non-Metallic,Manual,2000,3,4,5,0,13727
Jun_2006,100289,Diesel,90,Metallic,Manual,2000,3,4,5,1,17914
Mar_2006,80442,Diesel,90,Metallic,Manual,2000,3,4,5,0,19716
Jun_2006,20882,Petrol,192,Non-Metallic,Manual,1800,3,4,5,0,22790
Oct_2006,75406,Diesel,69,Non-Metallic,Manual,1900,3,4,5,0,13727
Aug_2006,33349,Petrol,192,Non-Metallic,Manual,1800,3,4,6,0,22207
Nov_2006,46227,Petrol,192,Non-Metallic,Manual,1800,3,4,6,1,21147
Aug_2006,34120,Petrol,192,Non-Metallic,Manual,1800,3,4,6,1,20776
Feb_2006,24380,Petrol,192,Metallic,Manual,1800,3,4,6,1,22790
Jan_2006,36179,Petrol,192,Metallic,Manual,1800,3,4,6,1,23850
May_2006,19863,Petrol,192,Non-Metallic,Manual,1800,3,4,6,1,23320
Mar_2006,36040,Petrol,192,Metallic,Manual,1800,3,4,5,0,24115
Sept_2006,23019,Petrol,110,Metallic,Manual,1600,3,4,5,0,19027
Sept_2006,27097,Petrol,110,Non-Metallic,Manual,1600,3,4,5,0,17755
Mar_2006,68221,Petrol,110,Metallic,Manual,1600,3,4,5,1,17967
Mar_2006,71720,Petrol,110,Metallic,Manual,1600,3,4,5,1,16907
Apr_2006,46539,Petrol,110,Non-Metallic,Automatic,1600,3,4,5,1,17967
May_2006,59730,Petrol,110,Metallic,Manual,1600,3,4,5,1,16907
May_2006,34153,Petrol,110,Metallic,Manual,1600,3,4,5,1,17967
Apr_2006,27362,Petrol,110,Metallic,Manual,1600,3,4,5,1,17225
Aug_2006,30157,Petrol,110,Metallic,Manual,1600,3,4,5,1,16907
Jun_2006,36618,Petrol,110,Metallic,Manual,1600,3,4,5,0,18545
